account_id,customer_id,account_type,open_date,status
576,692,Savings,1993-01-01,Active
3818,4601,Savings,1993-01-01,Active
704,844,Savings,1993-01-01,Active
2378,2873,Savings,1993-01-01,Active
2632,3177,Savings,1993-01-02,Active
1972,2397,Savings,1993-01-02,Active
1539,1866,Fixed Deposit,1993-01-03,Active
793,950,Savings,1993-01-03,Active
2484,2999,Savings,1993-01-03,Active
1695,2058,Savings,1993-01-03,Active
1726,2093,Savings,1993-01-03,Active
2881,3483,Savings,1993-01-04,Active
2357,2849,Savings,1993-01-04,Active
2177,2636,Savings,1993-01-04,Active
485,583,Fixed Deposit,1993-01-04,Active
652,782,Savings,1993-01-05,Active
9635,11860,Savings,1993-01-05,Active
1844,2236,Savings,1993-01-06,Active
1926,2338,Savings,1993-01-06,Active
2393,2889,Savings,1993-01-07,Active
3510,4238,Savings,1993-01-07,Active
1276,1540,Savings,1993-01-07,Active
1637,1984,Savings,1993-01-08,Active
3871,4665,Savings,1993-01-08,Active
192,232,Savings,1993-01-08,Active
764,914,Savings,1993-01-08,Active
2087,2530,Current,1993-01-08,Active
2122,2566,Savings,1993-01-08,Active
3592,4335,Savings,1993-01-08,Active
3487,4215,Savings,1993-01-08,Active
435,523,Savings,1993-01-08,Active
1730,2099,Savings,1993-01-09,Active
1493,1810,Savings,1993-01-09,Active
374,454,Savings,1993-01-09,Active
2925,3533,Savings,1993-01-10,Active
866,1044,Savings,1993-01-10,Active
1628,1973,Savings,1993-01-10,Active
2379,2874,Savings,1993-01-10,Active
1979,2404,Savings,1993-01-11,Active
346,423,Savings,1993-01-11,Active
1338,1619,Savings,1993-01-11,Active
1909,2319,Savings,1993-01-12,Active
2099,2542,Current,1993-01-12,Active
3760,4536,Savings,1993-01-13,Active
5270,6367,Savings,1993-01-13,Active
1699,2064,Savings,1993-01-14,Active
3909,4715,Savings,1993-01-14,Active
2926,3534,Savings,1993-01-14,Active
1731,2100,Savings,1993-01-14,Active
11265,13845,Savings,1993-01-14,Active
2519,3041,Savings,1993-01-15,Active
10364,12754,Savings,1993-01-17,Active
1481,1794,Savings,1993-01-17,Active
401,485,Savings,1993-01-18,Active
4034,4862,Savings,1993-01-18,Active
2330,2818,Savings,1993-01-19,Active
1806,2187,Savings,1993-01-19,Active
3834,4620,Savings,1993-01-19,Active
1222,1475,Savings,1993-01-20,Active
212,255,Current,1993-01-20,Active
456,548,Savings,1993-01-21,Active
459,551,Savings,1993-01-21,Active
772,924,Savings,1993-01-21,Active
1019,1223,Savings,1993-01-21,Active
11295,13886,Savings,1993-01-21,Active
2970,3586,Savings,1993-01-22,Active
2676,3231,Savings,1993-01-22,Active
1536,1862,Current,1993-01-22,Active
1179,1419,Savings,1993-01-23,Active
280,338,Savings,1993-01-23,Active
2425,2930,Savings,1993-01-23,Active
9307,11461,Savings,1993-01-24,Active
4055,4886,Savings,1993-01-24,Active
5065,6114,Savings,1993-01-24,Active
3704,4466,Savings,1993-01-24,Active
477,574,Savings,1993-01-25,Active
5891,7127,Savings,1993-01-25,Active
1000,1204,Savings,1993-01-25,Active
1750,2122,Savings,1993-01-26,Active
2023,2457,Savings,1993-01-26,Active
6473,7815,Savings,1993-01-26,Active
1649,1999,Savings,1993-01-26,Active
2670,3225,Savings,1993-01-27,Active
1127,1353,Savings,1993-01-27,Active
163,197,Savings,1993-01-27,Active
2566,3097,Savings,1993-01-27,Active
9,12,Savings,1993-01-27,Active
1144,1375,Savings,1993-01-28,Active
2902,3507,Savings,1993-01-28,Active
4296,5175,Savings,1993-01-28,Active
443,534,Savings,1993-01-28,Active
3693,4453,Savings,1993-01-29,Active
2070,2510,Savings,1993-01-29,Active
1843,2235,Savings,1993-01-30,Active
2714,3276,Savings,1993-01-30,Active
4078,4915,Savings,1993-01-30,Active
1675,2034,Savings,1993-02-01,Active
5868,7100,Savings,1993-02-02,Active
1805,2186,Savings,1993-02-02,Active
2434,2940,Savings,1993-02-02,Active
3007,3632,Savings,1993-02-02,Active
2574,3105,Savings,1993-02-02,Active
862,1039,Current,1993-02-02,Active
1132,1359,Current,1993-02-03,Active
4484,5409,Savings,1993-02-03,Active
943,1137,Savings,1993-02-03,Active
3514,4243,Savings,1993-02-03,Active
3983,4803,Savings,1993-02-04,Active
9265,11409,Savings,1993-02-04,Active
465,559,Savings,1993-02-04,Active
982,1183,Savings,1993-02-05,Active
411,496,Savings,1993-02-05,Active
890,1072,Savings,1993-02-05,Active
627,754,Savings,1993-02-05,Active
