loan_id,customer_id,branch_id,loan_type_id,date_id,amount,interest_rate,tenure_months,status
5314,2166,30,2,19930705,96396,12.0,12,Defaulted
5316,2181,46,2,19930711,165960,12.0,36,Closed
6863,11314,45,2,19930728,127080,12.0,60,Closed
5325,2235,12,2,19930803,105804,12.0,36,Closed
7240,13539,1,2,19930906,274740,12.0,60,Closed
6687,10200,13,2,19930913,87840,12.0,24,Closed
7284,13845,15,2,19930915,52788,12.0,12,Closed
6111,6551,24,2,19930924,174744,12.0,24,Defaulted
7235,13490,18,2,19931013,154416,12.0,48,Closed
5997,5911,14,2,19931104,117024,12.0,24,Closed
7121,12754,55,2,19931110,21924,12.0,36,Closed
6077,6367,44,2,19931122,79608,12.0,24,Closed
6228,7291,6,2,19931201,464520,12.0,60,Defaulted
6356,8091,49,2,19931208,95400,12.0,36,Closed
5523,3264,63,2,19931208,93888,12.0,36,Closed
6456,8598,64,2,19931209,47016,12.0,12,Closed
7104,12695,68,2,19931213,259740,12.0,60,Closed
6820,11126,1,2,19931216,38148,12.0,12,Closed
6876,11372,11,2,19931221,86616,12.0,12,Closed
7097,12625,54,2,19931223,75624,12.0,24,Defaulted
4959,2,1,2,19940105,80952,12.0,24,Closed
6499,9173,1,2,19940105,80952,12.0,24,Closed
5479,3001,1,2,19940110,24516,12.0,12,Closed
5170,1286,68,2,19940120,253200,12.0,60,Active
6721,10459,4,2,19940121,21072,12.0,24,Closed
7259,13657,1,2,19940131,108144,12.0,36,Closed
5285,1944,1,2,19940206,78936,12.0,12,Closed
5189,1404,11,2,19940207,149040,12.0,48,Closed
6650,9973,24,2,19940217,49320,12.0,12,Defaulted
7226,13447,50,2,19940223,197748,12.0,36,Closed
6087,6417,40,2,19940227,300660,12.0,60,Active
7262,13687,75,2,19940301,182628,12.0,36,Closed
5519,3251,7,2,19940308,91632,12.0,12,Closed
6577,9593,74,2,19940311,51696,12.0,24,Closed
6509,9226,64,2,19940315,55368,12.0,24,Closed
6520,9273,39,2,19940316,91200,12.0,24,Closed
6699,10287,48,2,19940330,7656,12.0,24,Closed
6336,7914,38,2,19940331,212400,12.0,36,Closed
7055,12396,62,2,19940406,167100,12.0,60,Active
6103,6499,44,2,19940407,149340,12.0,60,Active
6202,7127,54,2,19940418,65184,12.0,12,Closed
7066,12464,1,2,19940502,215388,12.0,36,Defaulted
6696,10275,77,2,19940509,89040,12.0,60,Active
6072,6349,72,2,19940510,193968,12.0,36,Closed
5130,976,16,2,19940511,24312,12.0,12,Closed
5568,3542,10,2,19940517,272520,12.0,60,Active
6678,10095,11,2,19940520,80340,12.0,12,Closed
6998,12102,20,2,19940521,97632,12.0,12,Closed
6580,9611,23,2,19940522,196080,12.0,48,Closed
6316,7815,12,2,19940526,76908,12.0,12,Defaulted
6512,9236,4,2,19940526,63312,12.0,48,Closed
6407,8366,41,2,19940526,25944,12.0,24,Closed
5002,210,66,2,19940531,104808,12.0,12,Closed
6647,9945,1,2,19940601,208320,12.0,48,Closed
7137,12843,66,2,19940603,151560,12.0,24,Closed
6903,11497,30,2,19940604,52128,12.0,24,Closed
5918,5517,27,2,19940604,300204,12.0,36,Closed
6642,9915,44,2,19940605,77640,12.0,12,Closed
6210,7166,15,2,19940606,87216,12.0,48,Defaulted
6279,7576,38,2,19940607,87360,12.0,24,Closed
7249,13603,11,2,19940612,69360,12.0,48,Closed
6736,10555,1,2,19940614,288360,12.0,60,Active
6112,6567,34,2,19940617,174744,12.0,24,Defaulted
5319,2195,40,2,19940623,239460,12.0,60,Active
6596,9702,1,2,19940625,91584,12.0,24,Closed
5837,5134,56,2,19940629,244560,12.0,60,Active
5657,4056,63,2,19940705,4980,12.0,12,Closed
5533,3335,19,2,19940705,111384,12.0,24,Closed
6232,7311,56,2,19940708,276660,12.0,36,Defaulted
6888,11409,1,2,19940711,39576,12.0,12,Closed
6066,6317,77,2,19940711,173808,12.0,24,Closed
5549,3414,11,2,19940716,50460,12.0,60,Active
5060,512,1,2,19940719,252060,12.0,60,Defaulted
6004,5965,12,2,19940723,143904,12.0,24,Closed
5126,946,54,2,19940724,208128,12.0,48,Defaulted
7220,13412,1,2,19940728,131292,12.0,36,Closed
6668,10043,45,2,19940730,74736,12.0,36,Closed
5395,2635,67,2,19940730,299088,12.0,36,Defaulted
6836,11195,47,2,19940803,189300,12.0,60,Active
6064,6301,55,2,19940804,14628,12.0,12,Closed
6919,11574,1,2,19940805,120888,12.0,36,Closed
6841,11208,10,2,19940807,172080,12.0,48,Closed
6038,6178,1,2,19940810,323472,12.0,48,Closed
6729,10510,23,2,19940811,74688,12.0,12,Closed
7198,13260,67,2,19940823,45768,12.0,12,Closed
6686,10198,31,2,19940825,224604,12.0,36,Closed
5836,5133,66,2,19940827,79632,12.0,24,Closed
7061,12432,55,2,19940827,121896,12.0,24,Closed
5595,3687,60,2,19940902,82896,12.0,12,Closed
5723,4428,38,2,19940910,23628,12.0,12,Closed
6120,6616,52,2,19940911,209184,12.0,48,Closed
6895,11461,68,2,19940919,41904,12.0,12,Closed
5882,5337,32,2,19940926,87816,12.0,12,Closed
5754,4620,54,2,19940928,23052,12.0,12,Closed
6594,9675,60,2,19940928,189696,12.0,24,Defaulted
6738,10566,74,2,19940929,230220,12.0,36,Defaulted
6624,9844,55,2,19940930,71460,12.0,12,Closed
6216,7195,50,2,19940930,141240,12.0,24,Closed
6229,7299,1,2,19941002,11736,12.0,24,Closed
5887,5366,60,2,19941003,192744,12.0,36,Closed
6808,11063,64,2,19941012,227880,12.0,36,Closed
6297,7683,74,2,19941025,17508,12.0,12,Closed
5161,1216,65,2,19941028,98184,12.0,24,Closed
5390,2623,16,2,19941030,170256,12.0,24,Closed
6150,6789,70,2,19941102,83016,12.0,12,Closed
6223,7241,1,2,19941103,61056,12.0,48,Closed
5032,352,56,2,19941103,123696,12.0,48,Closed
6253,7422,74,2,19941104,59760,12.0,24,Closed
6460,8610,1,2,19941106,48672,12.0,36,Closed
